registro_tipo,link,numero_processo,nome,oab,polo,nome_normalizado,nome_canon
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00200710320235040124,200710320235040124,SIMONE MACHADO DOS REIS,RS-83763,,SIMONE MACHADO DOS REIS,SIMONE MACHADO DOS REIS
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00204343820235040205,204343820235040205,FERNANDA DE OLIVEIRA LIVI,RS-68650,,FERNANDA DE OLIVEIRA LIVI,FERNANDA DE OLIVEIRA LIVI
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00208411420235040021,208411420235040021,DENISE PIRES FINCATO,RS-37057,,DENISE PIRES FINCATO,DENISE PIRES FINCATO
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00209372920235040021,209372920235040021,WAGNER LINDNER DA SILVA,RS-84083,,WAGNER LINDNER DA SILVA,WAGNER LINDNER DA SILVA
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00207050520235040122,207050520235040122,IVONE TEIXEIRA VELASQUE,RS-29498,,IVONE TEIXEIRA VELASQUE,IVONE TEIXEIRA VELASQUE
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00209172020235040027,209172020235040027,MARIANE HELENA LEVES CZARNABAY,RS-111530,,MARIANE HELENA LEVES CZARNABAY,MARIANE HELENA LEVES CZARNABAY
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00210483420235040014,210483420235040014,DENISE PIRES FINCATO,RS-37057,,DENISE PIRES FINCATO,DENISE PIRES FINCATO
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00211900220235040026,211900220235040026,RODRIGO LINNE NETO,PR-32509,,RODRIGO LINNE NETO,RODRIGO LINNE NETO
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00212221320235040024,212221320235040024,RODRIGO LINNE NETO,PR-32509,,RODRIGO LINNE NETO,RODRIGO LINNE NETO
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00202761320245040701,202761320245040701,LEONIDAS COLLA,RS-31704,,LEONIDAS COLLA,LEONIDAS COLLA
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00203728220245040101,203728220245040101,TIAGO COSTA DA SILVA,RS-107478,,TIAGO COSTA DA SILVA,TIAGO COSTA DA SILVA
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00204691920245040025,204691920245040025,GUILHERME FAVERO MACHADO,RS-90222,,GUILHERME FAVERO MACHADO,GUILHERME FAVERO MACHADO
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00205459220245040332,205459220245040332,ANDRIO PORTUGUEZ FONSECA,RS-31913,,ANDRIO PORTUGUEZ FONSECA,ANDRIO PORTUGUEZ FONSECA
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00201479620245040122,201479620245040122,MANOEL FERMINO DA SILVEIRA SKREBSKY,RS-24818,,MANOEL FERMINO DA SILVEIRA SKREBSKY,MANOEL FERMINO DA SILVEIRA SKREBSKY
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00204467020245040123,204467020245040123,FERNANDA DE OLIVEIRA LIVI,RS-68650,,FERNANDA DE OLIVEIRA LIVI,FERNANDA DE OLIVEIRA LIVI
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00211790220245040102,211790220245040102,MARCELA RUSSOMANO GONI,RS-81002,,MARCELA RUSSOMANO GONI,MARCELA RUSSOMANO GONI
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00201680720245040661,201680720245040661,FERNANDA FREZARIN KAZAKEVICIUS,SP-240809,,FERNANDA FREZARIN KAZAKEVICIUS,FERNANDA FREZARIN KAZAKEVICIUS
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00202178520245040002,202178520245040002,BERATAN LUIZ FRANDALOSO,RS-28349,,BERATAN LUIZ FRANDALOSO,BERATAN LUIZ FRANDALOSO
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00210717120245040231,210717120245040231,ANDERSON FURTADO PEREIRA,RS-52035,,ANDERSON FURTADO PEREIRA,ANDERSON FURTADO PEREIRA
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00205656120235040771,205656120235040771,ANGELA DE SOUZA,RS-84940,,ANGELA DE SOUZA,ANGELA DE SOUZA
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00201261820245040641,201261820245040641,RENATA PEREIRA ZANARDI,RS-33819,,RENATA PEREIRA ZANARDI,RENATA PEREIRA ZANARDI
advogado,https://comunica.pje.jus.br/consulta?dataDisponibilizacaoInicio=2022-12-31&dataDisponibilizacaoFim=2026-05-09&numeroProcesso=00202599420235040641,202599420235040641,LUCIO SERGIO DE LAS CASAS JUNIOR,MG-108176,,LUCIO SERGIO DE LAS CASAS JUNIOR,LUCIO SERGIO DE LAS CASAS JUNIOR
